word,hamilton_count,madison_count,hamilton_per_1000,madison_per_1000,ratio,difference
states,458,261,4.052164988586696,6.368960468521229,0.6362364798171756,2.316795479934533
powers,98,127,0.8670571372958434,3.099072718399219,0.27977953926286353,2.2320155811033753
government,418,235,3.6982641162210466,5.734504636408004,0.6449143126925042,2.0362405201869573
constitution,239,153,2.114557712384761,3.733528550512445,0.566369771591683,1.6189708381276842
federal,137,110,1.2121104878523525,2.6842362127867254,0.4515662526562673,1.4721257249343729
legislative,83,86,0.7343443101587245,2.09858467545144,0.34992360267795963,1.3642403652927153
department,19,57,0.16810291437368394,1.390922401171303,0.12085714791286961,1.2228194867976192
executive,127,94,1.12363526976094,2.2938018545632017,0.48985716334897145,1.1701665848022618
people,271,146,2.397678410277281,3.5627135187896535,0.67299220036413,1.1650351085123725
confederation,23,55,0.20349300161024897,1.3421181063933627,0.1516207855634182,1.1386251047831137
any,365,86,3.22934546033656,2.09858467545144,1.5388206623789793,1.13076078488512
i,268,52,2.3711358448498574,1.268911664226452,1.868637440806676,1.1022241806234054
congress,39,59,0.3450533505565091,1.4397266959492434,0.23966586958992786,1.0946733453927342
those,325,76,2.875444587970909,1.8545632015617375,1.5504699896716823,1.0208813864091717
courts,119,4,1.05285509528781,0.0976085895558809,10.786500451223615,0.955246505731929
other,343,162,3.0346999805354518,3.953147877013177,0.7676666987798939,0.9184478964777254
convention,85,68,0.752039353777007,1.6593460224499756,0.453214304673261,0.9073066686729686
governments,79,65,0.6989542229221595,1.586139580283065,0.44066375469769375,0.8871853573609054
national,242,53,2.1411002778121846,1.2933138116154221,1.6555148940517608,0.8477864661967625
men,158,23,1.397908445844319,0.5612493899463152,2.4907081787260954,0.8366590558980037
against,166,93,1.468688620317449,2.269399707174231,0.6471705339850437,0.8007110868567822
latter,75,60,0.6635641356855945,1.4641288433382138,0.453214304673261,0.8005647076526193
no,292,138,2.583476368269248,3.3674963396778916,0.7671801563164767,0.7840199714086435
we,306,79,2.7073416735972256,1.927769643728648,1.4043906554938521,0.7795720298685775
might,225,50,1.9906924070567833,1.2201073694485114,1.6315714968237396,0.7705850376082719
members,89,63,0.787429441013572,1.5373352855051245,0.5122041030593044,0.7499058444915525
between,173,33,1.530621272981438,0.8052708638360175,1.9007533262660403,0.7253504091454204
his,239,57,2.114557712384761,1.390922401171303,1.520255702693465,0.7236353112134579
every,179,94,1.5837064038362854,2.2938018545632017,0.690428600310755,0.7100954507269164
articles,28,39,0.24773061065595525,0.9516837481698389,0.2603077031969499,0.7039531375138837
form,53,48,0.4689186558844868,1.171303074670571,0.40033930246138055,0.7023844187860843
departments,20,36,0.1769504361828252,0.8784773060029283,0.20142857985478266,0.7015268698201031
he,146,25,1.291738184134624,0.6100536847242557,2.117417231433476,0.6816844994103683
